Info,,,Sleep,,,,Productivity,,,Mood,,Prediction,Actual,Brier,Total Brier
Date,Day,Envelope,Awake Time,Sleepiness Waking Up,Bed Time,Sleepiness at Bedtime,General,Focus,Sharpness,Irritability,Excitement,,,,
6/12/23,1,38,0615>0645,4,100,2,4,3,3,2,3,35,1,0.4225,0.278333333
6/13/23,2,29,0550>0610,4,2330,3,3,3,3,2,2,20,1,0.64,
6/14/23,3,36,600,3,All nighter,2 (at 0330 before I took next day’s envelope),3,2,2,2,2,40,0,0.16,
6/15/23,4,25,All nighter,NA,1800,5,3,2,2,4,2,60,1,0.16,
6/16/23,5,46,,,,,,,,,,40,0,0.16,
6/19/23,6,9,700,3,2200,4,3,3,Na,4,2,30,1,0.49,
6/20/23,7,19,700,4,2345,2,5,4,4,1,3,80,1,0.04,
6/22/23,8,47,,,,,,,,,,,1,,
6/28/23,9,37,700,2,0,2,4,4,Na,3,4,75,1,0.0625,
6/29/23,10,18,700,3,2300,2,3,4,Na,4,2,70,0,0.49,
,11,40,,,,,,,,,,,1,,
,12,7,,,,,,,,,,,0,,
18-Jul,13,43,,,,,,,,,,65,1,0.1225,
20-Jul,14,44,645,4,2300,4,2,2,0.4,4,2,20,0,0.04,
25-Jul,15,34,700,4,130,4,4,3,3,2,3,40,0,0.16,
26-Jul,16,16,700,4,15,3,3,2,2,4,2,30,0,0.09,
27-Jul,17,41,,,,,,,,,,20,0,0.04,
2-Aug,18,32,600,4,2330,4,4,4,4,2,3,55,0,0.3025,
3-Aug,19,20,,,,,,,,,,,0,,
17-Aug,20,15,600,4,30,5,3,2,4,2,3,45,1,0.3025,
,21,33,600,4,15,4,3,2,2,2,3,25,0,0.0625,
6-Sep,22,11,530,2,2300,2,3,2,3,4,2,60,0,0.36,
7-Sep,23,42,530,2,15,3,2,2,2,2,3,35,1,0.4225,
20-Sep,24,22,600,3,2330,4,4,3,3,1,2,65,1,0.1225,
21-Sep,25,21,,,,,,,,,,55,1,0.2025,
26-Sep,26,12,700,,,,,,,,,75,0,0.5625,
27-Sep,27,24,,,,,,,,,,,0,,
6-Nov,28,8,545,2,2130,2,4,4,4,1,3,70,1,0.09,
7-Nov,29,28,545,2,0,2,3,3,2,3,3,60,0,0.36,
8-Nov,30,5,600,4,2230,3,4,4,3,3,4,85,1,0.0225,
9-Nov,31,13,600,3,2230,4,3,3,3,2,2,35,1,0.4225,
13-Nov,32,6,630,3,0,3,4,4,4,2,2,70,1,0.09,
16-Nov,33,26,700,2,2145,1,4,4,4,5,3,75,1,0.0625,
19-Nov,34,45,730,4,115,2,5,4,4,2,4,75,1,0.0625,
20-Nov,35,1,600,5,2300,3,2,2,2,2,4,25,1,0.5625,
30-Nov,36,31,630,4,0,3,4,3,3,1,5,70,0,0.49,
12-Dec,37,17,700,4,2330,3,3,4,4,2,3,65,1,0.1225,
13-Dec,38,14 (placebo),600,3,2300,2,2,2,4,1,3,35,0,0.1225,
17-Jan,39,2,600,3,2230,2,3,3,3,1,3,40,1,0.36,
18-Jan,40,36,500,4,2330,2,4,3,4,2,4,70,0,0.49,
19-Jan,41,4,600,4,2100,2,5,4,4,2,4,80,0,0.64,
22-Jan,42,39,600,4,2230,2,4,4,5,3,4,85,0,0.7225,
8-Feb,43,10,800,2,2145,2,4,3,3,4,3,60,0,0.36,
21-Feb,44,35,600,2,2330,2,5,5,4,4,4,90,0,0.81,
22-Feb,45,27,600,2,100,2,5,5,5,4,4,85,1,0.0225,
26-Feb,46,48,600,3,,,5,4,4,3,2,80,1,0.04,
27-Feb,47,3,545,1,2130,2,4,3,4,3,3,65,0,0.4225,